MP_sg,OQMD_sg,AFLOW_sg_orig,AFLOW_sg_relax
225,225,225,225
65,65,65,65
122,122,122,122
194,194,194,194
216,,,
225,,,
225,225,,
225,,,
225,,225,225
225,,,
225,,,
216,,216,216
194,,194,194
123,123,,
123,123,,
63,63,63,63
221,,,
137,137,137,137
194,,194,194
194,,194,194
194,,194,194
221,221,,
140,,,
19,,,
15,,,
15,,,
164,,,
164,,164,164
164,,,
225,225,,
60,,,
14,,,
14,,,
2,,,
55,,,
2,,,
13,,,
14,,,
221,221,,
13,,,
62,,,
62,62,,
14,,,
127,,,
148,148,,
61,,,
14,,,
74,74,,
14,14,,
15,15,15,15
167,167,,
149,149,,
15,15,,
63,,,
2,,,
194,194,194,194
12,,,
12,,,
221,221,,
216,216,,
137,,,
58,58,58,58
225,,,
225,,225,225
64,,64,64
129,,,
148,,,
225,,,
62,62,62,225
87,,,
87,,,
11,,11,11
221,221,,
12,,,
62,62,62,62
62,62,,
87,,,
221,221,,
221,221,,
2,,,
221,221,,
87,,,
87,,,
74,,,
215,215,,
181,181,,
225,225,,
11,,11,11
60,60,60,60
62,,62,62
92,,,
88,,,
63,,,
14,,,
141,,,
227,,,
13,,,
63,63,,
12,12,,
223,223,223,223
62,62,,
92,92,92,92
205,205,,
15,15,,
205,205,,
11,11,,
147,147,,
205,205,205,205
227,,,
122,,,
11,,,
139,139,139,139
14,,,
62,,,
14,,,
15,15,,
204,,,
164,,164,164
181,181,181,181
15,14,,
164,164,,
136,92,92,92
60,,,
88,88,,
62,,,
19,,,
15,,,
63,,,
72,72,72,72
62,,,
164,164,,
62,62,,
217,,,
139,,69,69
216,216,,
2,,,
62,,,
61,,,
11,11,11,11
14,,,
62,,,
64,,,
62,,,
192,192,192,192
113,113,,
15,,,
19,,,
19,,19,19
62,,,
167,167,167,167
61,,,
113,113,,
62,62,,
113,113,,
15,15,,
193,,,
2,,,
15,15,15,15
72,72,72,72
194,194,194,194
19,,,
62,,,
62,,,
14,,,
19,,,
62,,,
188,,,
62,,,
56,,,
15,,,
14,,,
15,,,
14,,,
62,,,
14,,,
19,,,
62,,,
191,,191,191
2,,,
62,,,
10,,,
2,,,
10,,,
2,2,,
2,,,
2,,,
227,,227,227
14,14,,
14,,,
2,,,
14,,,
14,,,
10,,,
15,,15,15
2,,,
14,,,
2,,,
14,,,
21,,,
62,,,
217,,217,217
62,62,,
61,,,
10,,,
205,,,
60,,,
167,,,
14,,,
62,,,
14,,,
140,,,
47,,,
113,,,
10,,,
62,,,
56,,,
164,,164,164
14,14,,
2,,,
127,,,
15,,,
194,,194,194
14,,,
191,,,
205,,,
2,,,
63,,63,63
198,,,
15,,,
47,,,
15,14,,
14,,,
15,,,
88,15,,
63,59,,
167,,,
14,,,
62,,,
62,,,
18,,,
14,14,,
60,,,
206,,,
62,,,
15,,,
227,227,,
14,14,,
62,62,,
225,225,225,225
63,63,,
225,225,225,225
15,,,
58,58,,
74,74,,
140,140,,
63,63,63,63
12,12,12,12
60,60,,
216,,,
216,216,216,216
216,216,216,216
74,74,,
225,225,225,225
15,,,
148,148,,
225,225,225,225
139,,139,139
61,61,61,61
63,,,
19,19,19,19
152,,152,152
148,148,,
225,225,225,225
60,60,,
11,,,
11,,11,11
148,,,
148,148,148,148
62,62,62,62
230,,,
139,,,
227,227,227,227
225,225,225,225
14,,,
14,,,
71,,,
62,,,
14,,,
225,225,225,225
58,58,58,58
61,61,,
15,15,,
11,11,11,11
225,14,,
15,15,,
72,72,,
194,,194,194
194,194,194,194
60,,,
116,116,,
60,,,
225,225,225,225
60,60,,
61,,,
11,11,,
2,2,,
166,,166,166
194,,,
64,64,,
64,64,64,64
113,,,
12,,,
62,62,,
139,139,139,139
69,69,,
113,113,,
62,62,,
15,15,,
14,,,
15,15,,
62,62,,
52,52,,
63,63,,
2,,2,2
62,62,,
62,,62,62
198,198,,
62,,,
166,166,,
15,15,,
14,,,
194,194,,
2,2,,
12,12,,
135,135,,
2,2,,
62,,62,62
206,,,
60,60,,
61,61,,
188,188,,
14,14,,
62,62,62,62
61,7,61,61
113,113,,
225,,,
12,12,,
130,,,
198,,,
14,,,
225,225,,
225,,225,225
88,88,,
225,225,,
14,,14,14
87,,,
167,167,,
13,13,,
13,13,,
63,63,63,63
225,,,
225,,,
225,,,
225,225,,
152,,152,152
14,14,,
12,12,12,12
88,88,,
148,148,,
14,14,,
194,194,194,194
14,14,,
88,88,,
87,87,,
141,141,141,141
205,205,205,205
88,,88,88
225,225,,
14,14,,
88,88,88,88
221,221,,
225,,225,225
87,87,,
88,88,,
129,129,,
14,,,
140,140,,
225,,225,225
225,225,,
221,221,,
216,216,,
62,62,,
129,129,,
225,225,,
205,205,205,205
14,,,
62,62,,
139,139,,
62,,,
62,62,,
221,,,
205,205,205,205
62,62,,
62,62,,
62,62,62,62
11,11,,
57,57,,
55,55,,
129,,,
55,55,,
12,12,,
11,11,,
61,61,,
225,225,225,225
225,225,,
62,62,62,62
205,,,
55,55,,
12,12,,
63,,,
13,,,
216,216,,
167,,,
61,,,
63,,,
225,225,225,225
11,11,,
225,225,,
62,62,62,62
88,88,,
60,60,,
225,225,,
154,154,154,154
62,62,,
14,14,,
12,12,,
194,194,,
88,,,
62,62,59,59
135,,,
221,221,,
63,63,,
205,205,205,205
135,135,,
12,,,
55,,,
2,2,,
113,113,113,113
225,225,,
205,,205,205
139,,,
198,198,,
166,12,12,12
167,167,,
137,,,
205,205,205,205
221,221,221,221
205,205,205,205
225,225,225,225
225,225,225,225
139,139,,
136,136,,
225,,,
139,139,,
148,,148,148
63,,,
55,,,
14,14,,
96,96,,
62,62,,
114,114,,
14,14,,
225,225,,
14,,14,14
139,,,
14,,,
11,11,,
62,62,,
166,166,166,166
212,,,
61,,,
121,121,,
114,,,
2,,,
194,194,194,194
63,63,,
64,64,64,64
2,2,,
62,62,,
2,,,
14,,,
14,14,,
147,147,,
55,,,
227,227,227,227
62,62,,
58,58,,
131,131,131,131
62,62,,
15,15,,
11,11,11,11
212,,,
61,,,
14,,,
14,,,
221,,,
221,,,
14,14,,
117,,117,117
92,92,92,92
64,,,
2,2,,
55,,,
11,11,,
2,2,,
167,167,,
150,,,
2,,,
221,123,,
2,,,
2,,2,2
62,,62,62
62,62,,
63,63,,
62,62,,
180,180,,
216,216,,
62,62,,
62,62,,
11,,,
14,14,,
148,148,,
139,139,,
19,,,
62,62,,
59,59,,
59,59,,
84,84,,
193,,,
227,,,
216,216,,
221,221,,
139,139,,
139,139,,
139,139,,
62,62,,
11,11,,
14,14,,
140,140,,
14,,,
62,62,,
15,15,,
198,198,,
14,14,14,14
63,,,
15,,15,15
140,140,,
148,148,,
148,148,,
148,148,,
139,139,,
62,62,,
221,221,,
150,,150,150
141,141,,
227,227,,
14,14,,
12,12,,
167,,,
15,15,,
62,62,,
14,14,,
14,14,,
148,148,,
152,,,
60,60,,
55,55,55,55
138,138,,
14,14,,
15,,,
62,62,,
62,62,,
63,63,,
2,2,,
2,,,
62,62,,
62,62,,
221,221,,
62,62,,
61,,,
11,11,,
167,167,,
141,141,,
62,62,,
15,15,,
140,140,,
63,63,,
62,62,,
194,,194,194
136,136,136,136
55,55,,
206,,,
63,63,,
15,15,,
141,141,,
64,64,,
62,62,,
60,60,,
14,14,,
11,11,,
2,2,,
14,14,,
14,,,
2,2,,
14,14,,
62,,,
18,18,,
15,15,,
14,,,
19,1,,
140,140,,
116,,116,116
164,164,,
14,14,,
164,,,
62,62,,
62,62,,
206,,,
15,15,,
221,221,,
14,,,
62,62,,
61,61,,
167,167,,
74,74,,
14,,14,14
188,9,,
62,62,,
62,62,62,62
15,15,,
62,62,62,62
2,,,
150,,,
12,12,12,12
14,,,
62,62,,
14,14,,
221,221,,
14,14,14,14
14,,14,14
91,91,,
15,,,
19,,,
14,,,
55,,,
62,62,,
12,12,,
15,,,
11,11,,
11,11,,
194,194,194,194
194,194,194,194
191,191,,
98,98,,
216,216,,
12,,,
64,64,,
12,12,,
122,122,,
221,221,,
15,15,,
63,63,,
225,225,,
130,140,,
58,,,
62,62,,
225,225,,
225,,225,225
127,127,,
139,139,,
152,152,,
13,,,
62,,,
57,,,
141,,,
176,,,
14,,,
14,14,,
82,82,,
66,66,,
140,140,,
15,,,
140,,,
141,,,
12,12,,
140,120,,
88,,,
15,,,
164,12,,
132,132,,
2,,,
82,,,
139,,,
148,148,,
131,,,
218,218,,
2,,,
2,,,
62,62,,
62,62,,
142,,,
70,,,
60,60,,
119,119,,
141,,,
70,,,
135,55,,
14,14,,
14,,,
141,,,
189,189,,
206,206,,
154,154,154,154
20,,,
229,,,
19,19,,
214,,,
74,62,,
62,,,
60,60,60,60
229,,,
54,,,
122,122,,
14,14,,
2,,,
14,14,,
14,,,
18,18,18,18
2,,,
21,,,
150,150,,
2,,,
69,,,
14,,,
205,205,,
147,,,
19,,,
15,,,
14,14,,
14,,,
61,,,
14,,,
19,,,
162,,,
15,,,
92,92,,
176,,,
223,,,
15,15,15,15
139,,,
137,,,
20,,,
198,198,,
193,,,
24,24,,
15,15,15,15
56,56,,
14,14,14,14
14,14,14,14
223,223,,
14,,,
174,,,
15,15,,
11,,,
121,,,
74,,,
14,14,,
58,58,58,58
58,,,
14,,,
227,227,,
148,,,
20,20,,
62,62,,
14,,,
15,,15,15
14,,,
118,,,
127,,,
14,14,,
74,,,
61,,,
12,,,
62,,,
205,,,
167,,,
10,,,
12,12,,
12,,,
148,,,
92,,92,92
15,15,,
62,62,,
14,,,
62,,,
18,18,,
230,230,,
64,64,,
62,,,
129,,,
60,60,,
14,,,
182,182,,
113,113,,
61,,,
2,2,,
15,15,15,15
63,63,,
64,,,
64,64,,
133,,,
11,,,
14,14,,
148,148,,
63,,,
194,194,,
15,15,,
230,,,
68,68,,
96,96,,
194,194,,
14,14,,
225,,,
15,,,
14,,,
114,114,,
13,,,
60,,,
10,10,,
74,,,
11,,,
14,14,14,14
61,61,,
63,63,,
11,14,,
62,,62,62
62,62,,
10,,,
2,,,
2,2,,
63,,,
63,63,,
64,64,,
63,,,
63,,,
98,98,,
63,,,
65,,,
148,,,
15,,,
227,,,
19,19,,
116,,,
59,,,
14,14,,
15,15,,
2,2,2,2
14,14,,
15,15,,
62,62,,
15,,,
15,,,
11,11,11,11
62,,,
227,227,,
15,,,
154,,154,154
72,72,,
18,,,
194,62,,
166,,166,166
166,,,
166,,166,166
129,129,,
62,,,
64,64,,
14,14,14,14
11,11,,
55,,,
85,,,
15,,,
14,14,14,14
14,,,
12,12,,
60,60,,
221,221,,
14,14,,
61,,,
61,,,
62,62,,
148,,,
148,148,,
194,20,,
74,,,
91,,,
131,,,
194,194,,
15,15,,
15,15,,
92,92,,
167,167,,
13,,,
2,,,
11,11,,
113,113,,
14,,,
194,,194,194
194,,194,194
12,12,,
194,,194,194
164,164,,
61,,,
14,14,,
2,,,
142,142,142,142
113,113,,
62,,,
14,14,14,14
217,217,,
14,14,,
139,139,139,139
55,55,,
55,55,,
64,64,,
15,,,
14,,,
2,,,
14,,,
14,,,
2,2,,
15,15,,
2,,,
2,,,
136,136,136,136
60,,,
119,,,
14,14,,
2,2,,
2,,,
148,,,
15,,,
14,,,
19,,,
14,,,
62,62,,
2,,,
2,,,
166,166,,
14,,,
2,,,
56,,,
15,,,
14,,,
155,,,
67,,,
113,113,,
61,,,
227,,227,227
62,,,
14,14,,
12,,,
2,,,
164,164,,
188,,,
71,,,
61,,,
57,,,
53,,,
64,,,
64,,,
12,,,
15,15,,
15,,,
14,14,,
167,167,,
14,,,
15,15,,
14,,,
2,,,
12,,,
191,,,
61,,,
15,15,,
2,,,
47,,,
15,15,15,15
62,,,
163,,,
62,62,,
180,180,,
154,154,,
92,92,,
136,136,,
205,205,,
11,,,
148,148,148,148
62,62,62,62
152,152,,
96,96,,
163,,,
14,,,
15,,,
62,62,,
194,194,,
135,135,,
152,152,152,152
19,,,
62,62,59,71
129,129,129,129
123,123,,
62,,,
15,15,15,15
113,113,113,113
63,63,,
122,122,122,122
122,122,,
58,58,58,58
164,164,164,164
20,20,,
15,,,
70,70,70,70
62,,,
2,,,
140,140,,
62,62,,
198,198,,
14,,,
92,92,92,92
55,55,,
221,221,,
88,88,,
198,,,
216,216,,
62,62,,
129,129,,
113,113,113,113
148,148,,
14,14,,
139,139,,
227,227,,
19,,,
205,205,,
136,136,,
136,,,
191,,,
62,,,
139,139,,
166,166,,
62,62,,
167,167,,
129,129,,
12,,,
62,62,,
139,139,,
216,,,
139,139,139,139
113,113,,
150,,,
225,225,,
188,188,,
13,13,13,13
62,62,,
140,140,,
223,,223,223
221,,221,221
14,,,
113,113,,
227,227,,
88,88,,
221,221,,
167,167,,
221,221,,
164,164,164,164
164,164,164,164
11,11,,
11,11,11,11
139,139,139,139
